Brewery,Name,Address,Brewery_Type,URL,URL_Title,Map_URL,Telephone,Latitude,Longitude
brewery,Brewery In Planning - Stow,1775,Planning,,,,,-26.073683,27.753463
brewery,Brewery In Planning - Hingham,2043,Planning,,,,,47.03195,6.884016
brewery,Brewery In Planning - Jamaica Plain,2130,Planning,,,,,56.939415,24.303777
brewery,Brewery In Planning - East Greenwich,2818,Planning,,,,,60.776253,10.669447
brewery,Brewery In Planning - Stratham,3885,Planning,,,,,-37.293891,148.280454
brewery,Brewery In Planning - Westford,5494,Planning,,,,,-33.422208,-70.70948
brewery,Fancy Giraffe Brewing,6074,Planning,,,,,42.200614,25.630261
brewery,Lock City Brewing,6907,Planning,http://www.lockcitybrewing.com,www.lockcitybrewing.com,,,41.50918,25.698342
brewery,Brewery In Planning - Franklin Lakes,7417,Planning,,,,,46.748149,9.442594
brewery,Brewery In Planning - Mendham,7945,Planning,,,,,43.047003,26.339126
brewery,Brewery In Planning - Cherry Hill,8003,Planning,,,,,14.500513,44.251394
brewery,Zephyrhills Brewing Company,33542,Planning,,,,,28.233327,-82.176802
brewery,Brewery In Planning - Riverview,48193,Planning,,,,,42.174223,-83.179341
brewery,Full Sail Brewery - Riverplace,"0307 SW Montgomery St Portland, OR 97201-5125",Micro,http://www.fullsailbrewing.com,www.fullsailbrewing.com,http://www.google.com/maps/place/0307 SW Montgomery St++Portland+OR+United States,(503) 222-5343,45.509386,-122.673712
brewery,Brewery In Planning - Hooksett NH,03106-1867,Planning,,,,,43.080284,-71.453684
brewery,McMenamins Fulton Pub and Brewery,"0618 SW Nebraska St Portland, OR 97239-3556",Micro,http://www.mcmenamins.com,www.mcmenamins.com,http://www.google.com/maps/place/0618 SW Nebraska St++Portland+OR+United States,(503) 246-4363,45.477075,-122.672594
brewery,Rushing Duck Brewing Co,"1 Battiato Ln Chester, NY 10918-1283",Micro,http://www.rushingduck.com,www.rushingduck.com,http://www.google.com/maps/place/1 Battiato Ln++Chester+NY+United States,(845) 610-5440,41.362281,-74.270966
brewery,Monhegan Brewing Co.,"1 Boody Lane Monhegan, ME 04852",Micro,http://www.monheganbrewingcompany.com,www.monheganbrewingcompany.com,http://www.google.com/maps/place/1 Boody Lane++Monhegan+ME+United States,(207) 975-3958,43.758661,-69.32108
brewery,Brooklyn Brewery,"1 Brewers Row 79 N 11th St Brooklyn, NY 11249-1913",Regional,http://www.brooklynbrewery.com,www.brooklynbrewery.com,http://www.google.com/maps/place/#1 Brewers Row+79 N 11th St+Brooklyn+NY+United States,(718) 486-7422,40.721645,-73.957258
brewery,Anheuser-Busch InBev - Saint Louis,"1 Busch Pl Saint Louis, MO 63118-1849",Large,http://www.anheuser-busch.com,www.anheuser-busch.com,http://www.google.com/maps/place/1 Busch Pl++Saint Louis+MO+United States,(314) 577-2000,38.598451,-90.209973
brewery,Hilton Head Brewing Co,"1 Cardinal Ct Ste 13 Hilton Head Island, SC 29926",Micro,,,http://www.google.com/maps/place/1 Cardinal Ct Ste 13++Hilton Head Island+SC+United States,(843) 715-3251,32.222581,-80.704156
brewery,Rockingham Brewing Company,"1 Corporate Park Dr Unit 1 Derry, NH 03038-2276",Micro,http://www.rockinghambrewing.com,www.rockinghambrewing.com,http://www.google.com/maps/place/1 Corporate Park Dr Unit 1++Derry+NH+United States,(603) 216-2324,42.885876,-71.335881
brewery,Boston Beer Co,"1 Design Center Pl Ste 850 Boston, MA 02210-2300",Regional,http://www.samadams.com,www.samadams.com,http://www.google.com/maps/place/1 Design Center Pl Ste 850++Boston+MA+United States,(617) 368-5000,42.344189,-71.032813
brewery,Traveler Beer Company,"1 Design Center Pl Ste 850 Boston, MA 02210-2300",Micro,,,http://www.google.com/maps/place/1 Design Center Pl Ste 850++Boston+MA+United States,(617) 368-5000,42.344189,-71.032813
